ticker,earnings_date,fiscal_quarter,fiscal_quarter_end
NVDA,2020-11-18,2019Q4,2019-10-27
NVDA,2021-08-20,2020Q2,2020-04-26
NVDA,2021-11-22,2020Q3,2020-07-26
NVDA,2021-11-22,2020Q4,2020-10-25
NVDA,2022-08-31,2021Q2,2021-05-02
NVDA,2022-11-18,2021Q3,2021-08-01
NVDA,2022-11-18,2021Q4,2021-10-31
NVDA,2023-11-21,2022Q4,2022-10-30
PG,2014-08-08,2011Q2,2011-06-30
PG,2014-08-08,2012Q3,2012-09-30
PG,2014-08-08,2012Q4,2012-12-31
PG,2014-08-08,2013Q1,2013-03-31
PG,2015-10-26,2012Q2,2012-06-30
PG,2015-10-26,2013Q3,2013-09-30
PG,2015-10-26,2013Q4,2013-12-31
PG,2015-10-26,2014Q1,2014-03-31
PG,2016-08-09,2013Q2,2013-06-30
PG,2016-08-09,2014Q3,2014-09-30
PG,2016-08-09,2014Q4,2014-12-31
PG,2016-08-09,2015Q1,2015-03-31
PG,2017-08-07,2014Q2,2014-06-30
PG,2017-08-07,2015Q3,2015-09-30
PG,2017-08-07,2015Q4,2015-12-31
PG,2017-08-07,2016Q1,2016-03-31
PG,2018-10-22,2015Q2,2015-06-30
PG,2018-10-22,2016Q3,2016-09-30
PG,2018-10-22,2016Q4,2016-12-31
PG,2018-10-22,2017Q1,2017-03-31
PG,2019-08-06,2016Q2,2016-06-30
PG,2019-08-06,2017Q3,2017-09-30
PG,2019-08-06,2017Q4,2017-12-31
PG,2019-08-06,2018Q1,2018-03-31
PG,2020-08-07,2017Q2,2017-06-30
PG,2020-08-07,2018Q3,2018-09-30
PG,2020-08-07,2018Q4,2018-12-31
PG,2020-08-07,2019Q1,2019-03-31
PG,2021-01-20,2019Q3,2019-09-30
PG,2021-04-20,2019Q4,2019-12-31
PG,2021-04-20,2020Q1,2020-03-31
PG,2021-08-06,2018Q2,2018-06-30
PG,2022-01-19,2020Q3,2020-09-30
PG,2022-04-20,2020Q4,2020-12-31
PG,2022-04-20,2021Q1,2021-03-31
PG,2022-08-05,2019Q2,2019-06-30
PG,2023-01-19,2021Q3,2021-09-30
PG,2023-04-21,2021Q4,2021-12-31
PG,2023-04-21,2022Q1,2022-03-31
PG,2023-08-04,2020Q2,2020-06-30
PLD,2014-02-26,2012Q1,2012-03-31
PLD,2014-02-26,2012Q2,2012-06-30
PLD,2014-02-26,2012Q3,2012-09-30
PLD,2015-02-25,2011Q4,2011-12-31
PLD,2015-02-25,2013Q1,2013-03-31
PLD,2015-02-25,2013Q2,2013-06-30
PLD,2015-02-25,2013Q3,2013-09-30
